iter	RMSE
0	1.521684953
1	1.442191597
2	1.374280933
3	1.297062112
4	1.229680609
5	1.170903441
6	1.120291614
7	1.07741409
8	1.039684137
9	1.007712574
10	0.9808959319
11	0.9572892137
12	0.937463814
13	0.9207419116
14	0.905640823
15	0.8926639613
16	0.8826137306
17	0.8737147088
18	0.865020128
19	0.8583197517
20	0.8546969078
21	0.8496211336
22	0.8443835888
23	0.8395199584
24	0.8351321798
25	0.8316800447
26	0.8286227987
27	0.8257138533
28	0.821606893
29	0.8194169017
30	0.8162937106
31	0.8130268151
32	0.8109635399
33	0.8088366748
34	0.8061725799
35	0.8037545361
36	0.8020157475
37	0.8009904411
38	0.7987514599
39	0.7973521803
40	0.7954321595
41	0.7938180966
42	0.7933877928
43	0.7923987325
44	0.7919527804
45	0.7910831179
46	0.7900139914
47	0.7881125577
48	0.7881125119
49	0.7874561837
50	0.7859961186
51	0.7852692051
52	0.7849179559
53	0.7839297458
54	0.7829867181
55	0.7823565903
56	0.7815601689
57	0.7804597514
58	0.7795224003
59	0.7787179989
60	0.7773489957
61	0.7766248288
62	0.7758243817
63	0.7754129677
64	0.7744138729
65	0.774045248
66	0.7740421337
67	0.7732717756
68	0.7728315301
69	0.7714666427
70	0.7709018089
71	0.7700087483
72	0.7700087384
73	0.7692611666
74	0.7690014339
75	0.7685573967
76	0.7680608258
77	0.7676918076
78	0.7669527982
79	0.7661087264
80	0.7661026522
81	0.7652219064
82	0.7645709252
83	0.7634152909
84	0.7629865822
85	0.7629865768
86	0.7629865407
87	0.7626677311
88	0.7622074163
89	0.7619284783
90	0.7604147719
91	0.7597439754
92	0.7595672582
93	0.7585929213
94	0.7579446272
95	0.757648371
96	0.7562042461
97	0.7559521649
98	0.7554754138
99	0.7547824693
100	0.7547824658
101	0.7541650049
102	0.7539884574
103	0.7539377206
104	0.7531906178
105	0.7530977824
106	0.7523316701
107	0.7521673976
108	0.7518331294
109	0.7514147725
110	0.7513888786
111	0.7503022932
112	0.7496878006
113	0.7487796295
114	0.7487796043
115	0.7481125101
116	0.7471898972
117	0.7468742864
118	0.7459997348
119	0.7458839086
120	0.7456896647
121	0.745461819
122	0.7450591547
123	0.7445892242
124	0.7443512396
125	0.7441174497
126	0.7432266552
127	0.7427186713
128	0.7424147525
129	0.7419603702
130	0.7410656272
131	0.7409482101
132	0.7402204131
133	0.7398903854
134	0.7395223204
135	0.739266682
136	0.7390993704
137	0.7387664248
138	0.7380093817
139	0.7375987024
140	0.737311382
141	0.7362013113
142	0.7360778371
143	0.7358572058
144	0.7348762266
145	0.7341794439
146	0.7338127722
147	0.7335943297
148	0.7334863688
149	0.733408125
150	0.7333256338
151	0.732508049
152	0.7318517007
153	0.7308971743
154	0.7302526565
155	0.7302341021
156	0.7300307179
157	0.7297555279
158	0.7297543884
159	0.7291825232
160	0.7291729598
161	0.7285180008
162	0.7269791204
163	0.7265987413
164	0.7259111844
165	0.7257948314
166	0.7257942011
167	0.7257274638
168	0.725431879
169	0.7246216702
170	0.7238986548
171	0.7232229611
172	0.7228115133
173	0.7227642879
174	0.7221962078
175	0.721462755
176	0.7209791762
177	0.7206258824
178	0.7202630105
179	0.719619964
180	0.7191860253
181	0.7190778427
182	0.7190687184
183	0.7182232472
184	0.7175827185
185	0.7168547983
186	0.7165018235
187	0.7163419432
188	0.7163403787
189	0.7157621571
190	0.7155537444
191	0.7148035234
192	0.7138206913
193	0.7133513605
194	0.713186891
195	0.7129267536
196	0.7119115223
197	0.7118485905
198	0.7114060911
199	0.7110594926
200	0.7110087234
201	0.7104196274
202	0.7103307319
203	0.709619615
204	0.7095883147
205	0.7095876849
206	0.7095810853
207	0.7095480571
208	0.7095128543
209	0.7092949075
210	0.7088294413
211	0.7084029131
212	0.7083835776
213	0.707728514
214	0.7070137622
215	0.7065163
216	0.7064255493
217	0.7054744019
218	0.7053674598
219	0.7051051681
220	0.7051040254
221	0.7044851892
222	0.7035402444
223	0.7034354881
224	0.7031613416
225	0.7024731092
226	0.7017318986
227	0.7016554284
228	0.7011740235
229	0.7007463759
230	0.6999022316
231	0.6988275505
232	0.6987475045
233	0.6986237804
234	0.6985619212
235	0.698313361
236	0.6979800095
237	0.6973820391
238	0.696658019
239	0.6965815654
240	0.6964999743
241	0.6963074689
242	0.6959157872
243	0.6954827952
244	0.6947655017
245	0.6945989206
246	0.6941477901
247	0.6936227655
248	0.6935069141
