iter	Passed	Remaining
0	946	756279
1	1975	788198
2	2860	759849
3	3829	762155
4	4690	745842
5	5504	728364
6	6362	720795
7	7139	706841
8	7918	695914
9	8735	690080
10	9596	688304
11	10444	685828
12	11302	684231
13	12179	683788
14	12980	679319
15	13875	679880
16	14591	672055
17	15428	670297
18	16297	669898
19	17154	669022
20	17287	641274
21	18315	647703
22	19336	653230
23	20263	655179
24	21255	658910
25	22219	661467
26	22926	656367
27	23982	661221
28	25175	669319
29	26092	669707
30	27304	677328
31	28460	683061
32	29484	685294
33	30452	686068
34	31640	691573
35	32644	692796
36	33627	693449
37	34695	695741
38	35922	700958
39	36861	700359
40	37840	700513
41	38818	700574
42	39823	701080
43	40749	700158
44	41750	700472
45	42871	702713
46	43893	703234
47	44906	703541
48	44958	689055
49	46051	690770
50	46861	688217
51	47845	688239
52	48996	690572
53	49975	690407
54	50999	690808
55	52028	691237
56	53049	691508
57	54230	693779
58	55217	693500
59	56351	695005
60	57404	695438
61	58546	696886
62	59409	694992
63	60409	694707
64	61370	693959
65	62424	694237
66	62628	685172
67	63620	684854
68	64695	685393
69	65839	686611
70	67073	688683
71	68380	691405
72	68440	681597
73	69543	682282
74	70580	682277
75	71538	681496
76	72635	682018
77	73680	682018
78	75110	685504
79	76350	687156
80	76538	679397
81	77775	681007
82	79029	682700
83	80134	683054
84	81367	684441
85	81428	676043
86	81493	667868
87	82668	668859
88	83884	670132
89	85121	671510
90	86361	672858
91	87281	671689
92	88490	672714
93	89768	674218
94	90841	674136
95	91814	673308
96	93050	674376
97	94062	673792
98	95084	673276
99	96111	672781
100	96159	665497
101	97201	665166
102	98213	664611
103	98374	658352
104	99423	658085
105	100397	657316
106	101460	657119
107	102523	656910
108	103679	657269
109	104678	656622
110	105775	656567
111	106778	655926
112	107737	655002
113	108905	655342
114	108958	649013
115	110011	648686
116	110849	647095
117	111904	646770
118	112938	646313
119	113381	642493
120	114369	641790
121	115314	640846
122	116313	640198
123	117341	639698
124	118417	639455
125	119555	639526
126	120516	638642
127	121602	638411
128	122602	637721
129	123602	637025
130	124626	636448
131	125671	635973
132	126784	635829
133	127636	634369
134	128550	633231
135	129485	632193
136	130585	631955
137	131549	631057
138	132661	630857
139	133764	630601
140	134797	630011
141	135903	629749
142	136888	628920
143	137703	627317
144	138829	627126
145	139927	626799
146	140965	626193
147	142121	626104
148	143089	625177
149	144104	624451
150	145142	623823
151	146158	623094
152	147352	623117
153	148507	622960
154	149567	622395
155	150184	619990
156	151143	619012
157	152130	618152
158	153282	617951
159	154385	617540
160	155320	616459
161	156502	616349
162	157493	615479
163	158541	614832
164	159444	613620
165	160413	612665
166	161451	611970
167	162373	610833
168	163418	610160
169	164644	610153
170	165864	610111
171	166931	609492
172	167950	608698
173	169056	608215
174	170153	607692
175	171212	607026
176	172405	606828
177	173504	606292
178	174514	605437
179	175634	604961
180	176697	604286
181	177647	603219
182	178671	602406
183	179813	601983
184	180883	601314
185	181777	600061
186	182828	599325
187	183813	598372
188	184498	596449
189	185640	596004
190	186677	595217
191	187599	594065
192	188722	593547
193	189856	593057
194	190865	592172
195	191983	591624
196	193077	590992
197	194108	590166
198	195180	589464
199	196299	588897
200	197291	587949
201	198284	586999
202	199068	585436
203	200340	585307
204	201499	584840
205	202405	583635
206	203484	582929
207	204472	581960
208	205491	581078
209	206584	580404
210	207640	579623
211	208671	578768
212	209777	578118
213	210887	577476
214	212040	576948
215	213185	576391
216	214302	575751
217	215539	575432
218	216738	575001
219	217860	574359
220	218847	573360
221	220113	573087
222	221423	572920
223	222478	572088
224	223548	571291
225	224931	571287
226	226071	570656
227	227045	569605
228	228104	568766
229	229257	568161
230	230382	567479
231	231540	566875
232	232487	565753
233	233411	564577
234	234467	563719
235	235487	562775
236	236745	562395
237	237855	561659
238	238772	560467
239	239790	559511
240	240781	558493
241	241842	557637
242	242886	556740
243	243972	555937
244	245108	555246
245	246195	554440
246	247124	553279
247	248181	552404
248	249239	551529
249	250328	550722
250	251557	550218
251	252725	549578
252	253682	548475
253	254814	547750
254	255859	546836
255	256846	545798
256	258096	545317
257	259124	544362
258	260121	543343
259	261214	542521
260	262284	541653
261	263454	540987
262	264619	540307
263	265545	539138
264	266637	538305
265	267575	537163
266	268667	536329
267	269837	535648
268	270923	534797
269	271976	533878
270	273148	533193
271	274202	532276
272	275248	531340
273	276253	530325
274	277219	529236
275	278281	528332
276	279344	527426
277	280444	526590
278	281693	526029
279	282693	525002
280	283920	524394
281	285210	523896
282	286411	523232
283	287258	521919
284	288422	521184
285	289565	520408
286	290586	519411
287	291834	518816
288	293343	518680
289	294570	518037
290	295896	517565
291	297003	516704
292	298203	516004
293	299360	515225
294	300618	514617
295	301942	514117
296	303035	513222
297	303982	512077
298	304974	511011
299	306088	510146
300	307241	509346
301	308456	508646
302	309688	507971
303	310727	506975
304	311966	506306
305	313154	505549
306	314310	504738
307	315636	504198
308	316927	503596
309	318276	503081
310	319417	502235
311	320618	501479
312	321911	500865
313	322997	499926
314	324057	498945
315	325357	498332
316	326582	497600
317	327598	496548
318	328548	495397
319	329562	494343
320	330585	493304
321	331535	492154
322	332475	490993
323	333516	489981
324	334456	488821
325	335448	487737
326	336656	486967
327	337572	485775
328	338549	484671
329	339677	483783
330	340897	483024
331	342056	482176
332	343083	481141
333	344117	480115
334	345282	479273
335	346321	478253
336	347324	477184
337	348585	476468
338	349639	475468
339	350827	474649
340	351928	473709
341	353027	472768
342	354037	471706
343	354918	470473
344	356184	469750
345	357261	468776
346	358242	467676
347	359121	466445
348	360232	465514
